1,647734335,176787923,115239768,17759900,14363340,58706905,130097566,126937750,34112963,54018315
2,487866020,49900663,27243988,2926348,4395880,3284718,14741544,96765261,8055842,21307511
3,473273559,47071565,23539851,2888726,2782763,2911228,10560189,75097920,6689674,20207166
4,447650850,43215496,18913579,2695076,2628737,2633031,8983632,59629791,7638138,17064896
5,429646719,42248898,15648605,2608772,2859359,2647407,8888368,49364026,7627005,14020121
6,430490621,41919817,14860990,2374565,2745971,2508810,8390424,42879961,7593271,12682605
7,426829361,41411878,15173672,2252580,2585763,2489548,8250364,38410344,7551496,11647494
8,132417617,40866005,15084314,2170478,2421835,2358405,4132480,35178906,7518803,10999677
9,131907861,40883814,13401676,1717157,1858880,1870078,3673316,34977936,4454086,10965521
10,131936829,40873158,12297793,1422674,1535057,1556003,3372251,34810134,4104331,10949499
11,132561109,40921556,10945921,1241520,1353295,1400156,2964616,34711506,3824173,10906629
12,131965336,40859693,9996881,1119094,1216632,1238279,2757800,34537898,3635430,10909313
13,131951267,40916250,9517337,1000605,1072481,1066558,2557131,35336331,3259053,10886243
14,132188090,40889773,8768728,946961,1008938,993732,2502153,36799627,3148449,10880181
15,132116575,40847617,8020116,899242,939163,938065,2176662,38605529,3058150,10862369
16,132119956,40847559,7631568,870253,904106,898629,2073116,40397611,2818005,10848104
17,132165415,40847047,7213827,805760,827770,825699,1955741,40411615,2610463,10843851
18,131979468,40875677,6764226,742694,764380,769553,1846704,40151736,2499936,10827386
19,131976703,40939276,6479683,701125,727251,722817,1803114,40158581,2347261,10831400
20,132040867,40917940,6102706,668415,689800,685284,1665524,40240776,2315425,10815476
21,132098067,40917098,5837555,648691,667649,660961,1596471,40300091,2241763,10805382
22,132015746,40880438,5556592,629418,648197,637572,1539882,40305127,2130627,10798007
23,131981515,40859469,5299068,610537,628888,619796,1419482,40334617,2116974,10787027
24,132124568,40857111,5053182,596563,612518,602563,1377583,40519393,2058388,10778546
25,132306119,40924452,4838847,561861,581531,575550,1338826,40450845,1934831,10780625
26,131938321,40894772,4804452,545408,553966,549562,1288976,40217551,1921830,10773170
27,131991243,40894832,4501832,518941,528404,530831,1255462,40294743,1960642,10760392
28,131975999,40977678,4392156,503381,511437,518429,1195862,40322444,1862661,10755284
29,132089417,40893929,4265570,480551,489323,500113,1166197,40482446,1894930,10747535
30,132186358,40945427,4062846,469296,479051,484648,1172347,40247168,1799419,10732460
31,131859022,40905077,3958906,457486,471187,466070,1081105,40243459,1934094,10736954
32,131949526,40816171,3892298,449619,459992,455918,1038003,40174921,1950588,10736773
