1,56117638,52737515,87405173,44621576
2,56083402,14986380,63697286,10676811
3,56073358,12835067,51121529,9616228
4,55853301,10403232,34790221,8435535
5,55999147,8580830,35983178,8670581
6,55798767,7628037,30613163,9049007
7,55817505,6913752,22668981,9143907
8,55796198,6389373,20590771,9207378
9,55759609,6502117,20572227,9228298
10,55729989,6589438,21129077,9253301
11,55613005,6621176,21218673,9261660
12,55620480,6660698,21320829,9270589
13,55565433,6691463,20867503,9302131
14,55479823,6673915,20991928,9367271
15,55321071,6690120,21653261,9423530
16,55326769,6685036,21825014,9471456
17,55208634,6674471,22094641,9460829
18,55171819,6701818,21810806,9461409
19,55108988,6692575,22015623,9460056
20,55018224,6693057,22582997,9467291
21,54588049,6686119,22208449,9471991
22,54704065,6692612,22476925,9465938
23,54509584,6700658,23021134,9473426
24,54044645,6711933,23236800,9473978
25,54031664,6709072,23534786,9473321
26,53320141,6712509,23104240,9462479
27,52802172,6714713,24091458,9466779
28,53235509,6720846,23661139,9472611
29,53048372,6710568,23918307,9462566
30,52306880,6719514,23867226,9475300
31,52303784,6743905,24264687,9469397
32,52344677,6723601,24639412,9452322
