1,647949499,204212611,144134618,111012508,46919005,64558631
2,612941848,54542835,29174482,14263408,24363214,19664089                                                                
3,647767536,49282421,24525891,8560747,13070149,21316516
4,554963522,48603754,22489372,6059824,9928106,17869705
5,616537841,48706342,20479186,5757054,10639469,14328129
6,611211389,48521912,18364873,5779130,10056666,12993394
7,597009882,48492920,16584585,5526077,10294191,11876362
8,216112586,48216193,16090454,4765611,9879956,11266374
9,213680778,48198484,14408020,4307296,9667529,11253939
10,212348345,48126527,13094043,3829242,9554739,11288656
11,212536640,48136439,11665956,3451683,9503923,11305714
12,213205224,48175560,10785824,3119126,9479120,11318115
13,216052235,48140798,10271472,2942676,9545137,11308159
14,212536799,48139371,9341918,2703525,9654046,11316352
15,212400598,48149823,8742996,2552443,9753880,11278195
16,212358500,48158902,8406841,2388199,9859808,11291791
17,212405583,48141437,7902681,2253951,9857838,11295611
18,212202970,48131764,7311927,2136680,9857032,11275693
19,212317638,48133318,7113395,2066790,9850770,11267253
20,212787826,48154717,6777664,1908227,9724612,11332184
21,217119345,48163776,6027236,1808151,9804355,11318858
22,217850418,48184190,6168770,1723275,9802258,11309505
23,218551240,48251850,5624512,1652788,9749858,11312563
24,213854364,48209166,5282093,1597226,9772210,11294811
25,214374251,48141066,5356448,1562514,9807300,11274530
26,213099651,48219606,5299371,1471677,9866875,11262326
27,212397071,48270269,5046983,1407035,9787676,11257233
28,213313441,48140544,4727266,1335857,9861371,11233306
29,212386448,48138767,4824002,1308311,9857952,11246477
30,215252077,48330065,4541932,1256331,9723786,11261603
31,215518395,48278488,4419019,1223364,9852132,11260511
32,214989171,48300137,4498875,1201490,9779613,11244778
