1,648477805,204856641,144109317,18025731,14966538,62778984,110969016,47587132,34337135,69375404
2,604412949,79074239,71448107,2919287,6712559,3866768,18404820,18802178,20443882,18467720
3,644886867,51352629,23571221,2885264,3021440,3148016,7812324,13599547,16071461,22717423
4,620760142,49119813,22298717,2558337,3009815,2739773,6808331,12474948,12630735,18838055
5,613646734,48913051,19024645,2633613,2934122,2893978,6071744,10502361,10299520,14709706
6,609130056,48928932,16065571,2402439,2853550,2775170,5617634,10113673,9245027,12883309
7,573516077,48662628,15809115,2287548,2719252,2685572,5143145,9825000,8702048,11672538
8,230054913,48398525,15480982,1992136,2275419,2187890,4101998,9566291,8095967,10859817
9,225355893,48424801,14291218,1600488,1768470,1798276,3614708,9554559,7483966,10900177
10,224922869,48427243,12607576,1329985,1467512,1536062,3234915,9507389,7053530,10900914
11,224512033,48375627,11393260,1187383,1275478,1352791,2960758,9509444,6805202,10902789
12,224419328,48415290,10174527,1065160,1135137,1314931,2685076,9687946,6604426,10832185
13,212623021,48145076,9675168,1061214,1120773,1162567,2492053,9765173,6384368,10840290
14,212870044,49739664,9043168,794192,909433,962947,2311800,9629544,6264709,10899663
15,227120403,48519672,8305394,818385,867389,893462,2162879,9709772,6109570,10890372
16,227105444,48574938,7819784,769682,797582,822731,1973684,9712755,6001002,10907192
17,227302355,48546073,7278675,703448,754630,767670,1949850,9734095,5903307,10884459
18,225989304,48485996,6664780,680314,710432,712950,1783080,9754533,5809823,10874544
19,225930357,48542173,6488017,647368,673606,685956,1732673,9743029,5757358,10866302
20,227556970,48567715,6497456,623285,635044,642623,1641290,9759620,5706948,10852643
21,225310746,48510714,5993891,603374,614730,615356,1588270,9763636,5694134,10855803
22,227857528,48497713,5614337,580141,576769,594853,1551224,9754262,5681515,10858554
23,230886975,48480347,5913004,537848,561436,562912,1389625,9798984,5656768,10862735
24,226051915,48523914,5026549,527599,541070,543912,1336117,9777370,5627315,10849183
25,226075250,48550173,5367302,508653,512022,517068,1284309,9738282,5604863,10835811
26,230849761,48509835,5062129,480817,491477,501448,1243769,9778691,5602595,10786424
27,212713323,48142717,4682992,558738,571151,576707,1226707,10104835,5557925,10781837
28,213956610,48142057,4895195,531117,544065,554064,1155950,10095816,5524567,10781371
29,212308336,48144455,4421888,518057,535372,535291,1138268,10091995,5434616,10774168
30,212404892,48153444,4477661,501805,517290,523512,1128869,10083966,5383717,10772454
31,212504083,48147141,4306778,493595,508543,501345,1082946,10086874,5334075,10773432
32,212379052,48136684,4156550,478430,483786,491974,1057114,10066544,5332732,10763130
