1,52916621,42518663,62535142,35350083,26183037
2,52956204,12865229,44633043,13085275,11358094
3,52906159,11043017,34721415,9998217,10520656
4,52954771,8748948,28096632,9944035,8250972
5,52864525,7189664,24512839,9456397,6668790
6,52764767,6354134,23417254,9318256,6015654
7,52713781,5812411,19941204,9303849,5680986
8,52512261,5454180,17967568,9149641,5245992
9,52517748,5488315,18348372,9197173,4809642
10,52351268,5509503,17389181,9183520,4481957
11,52249031,5532264,18053400,9198656,4273864
12,51763577,5534540,17241364,9219152,4096888
13,52247441,5540303,18169718,9248539,3994706
14,51855511,5542228,20281602,9315055,3881002
15,51902995,5538831,18875744,9288586,3855540
16,51912848,5541172,18707014,9390322,3705547
17,51806726,5544542,18622495,9378448,3642257
18,51178184,5541989,19216810,9353191,3560318
19,50970566,5534735,19051498,9408005,3520358
20,50259200,5535681,19117727,9369583,3485134
21,51080417,5533650,19130492,9242741,3481648
22,49779845,5538721,19827915,9330574,3438283
23,48651714,5544184,20069819,9347988,3420054
24,49103235,5534789,20224626,9375144,3374955
25,50437011,5539821,18541557,9472033,3383229
26,49917933,5544890,23872860,9340849,3473402
27,46122945,5547382,21434429,9471651,3311973
28,49405130,5534639,18509166,9491444,3300897
29,49032871,5538644,18438389,9489405,3280811
30,49025367,5536859,19764402,9434016,3306438
31,44095479,5545456,19830038,9441180,3265726
32,48644593,5541378,18705234,9445217,3255918
