1,51047811,40194187,58964789,53757412,23773148
2,50747751,13526215,34347697,19515661,6015181
3,49910591,12170907,27085379,20111674,5724367
4,48960434,9977448,27650829,15091360,5378530
5,47611190,7831089,26563386,18342442,5274505
6,47327062,6865052,24609921,17448233,4976650
7,46678180,6107552,23511748,16185172,4726508
8,45151451,5604321,23391297,15380897,4588394
9,42686330,5603815,23241149,15491069,2774860
10,40966594,5624234,23165295,15572336,2386281
11,39678944,5637702,23070735,15667510,2131795
12,38674269,5646372,22963100,15714721,2002677
13,38570738,5646554,22897801,15930615,1898252
14,36977422,5642748,22809855,16213146,1630838
15,37456361,5637816,22710653,16617585,1715626
16,36873993,5638329,22636596,16959912,1480752
17,35524206,5645769,22546490,16992558,1533005
18,35050849,5643919,22467877,16962236,1338470
19,35221114,5642422,22406038,16938118,1364974
20,32244413,5644840,22323656,16961974,1236930
21,32366572,5636298,22266588,16952583,1255364
22,32158022,5644260,22226564,16944040,1187574
23,29827067,5642250,22189081,16975408,1130773
24,30045706,5638502,22163092,16958969,1110402
25,28157696,5641442,22102143,16943974,1013857
26,28669244,5633966,22048079,16944236,1011868
27,26851956,5640785,22010697,16953705,946187
28,28139435,5639005,21988045,16932639,958966
29,25201273,5645630,21939113,16920543,908268
30,25441610,5646397,21884878,16937974,949485
31,25020808,5640000,21857612,16921621,908601
32,24061240,5642710,21837133,16946454,934182
